System,Testing Studie Ids,Tracing Studie Ids,#Studies Testing,#Studies Tracing,#Studies,Available,OSS,Micro-service
"17 APIs","T450","",1,0,1,0,0,0
"2157 APIs from apiguru","T1519","",1,0,1,0,0,0
"6 real world apis","T384","",1,0,1,0,0,0
"8 partly self constructed applications. Cinema","T80","",1,0,1,0,0,0
"87 APIs from apiguru","T14","",1,0,1,0,0,0
"91 APIs from apiguru","T598","",1,0,1,0,0,0
"Alibaba �s not available","","M29",0,1,1,0,0,0
"Amadeus Hotel","T386, T299","",2,0,2,0,0,0
"apiguru","T57, T432","",2,0,2,0,0,0
"Audible","T80","",1,0,1,0,0,0
"AWS","T285","",1,0,1,0,0,0
"AWS demo","T84","",1,0,1,1,1,1
"Azure","T285, T680, T686, T689, T792","",5,0,5,0,0,0
"Bench4Q refactored to �S not available","","M53",0,1,1,0,0,0
"BingMaps","T367, T354","",2,0,2,0,0,0
"Bitbucket","T342","",1,0,1,0,0,0
"Book Info","T77","M46",1,1,2,1,1,1
"Calculator","T57","",1,0,1,0,0,0
"Calculator","T1670","",1,0,1,0,0,0
"ChaosEcho","","M178",0,1,1,1,1,0
"Clearwater","","M381, M851, M1389, M1854",0,4,4,0,0,0
"Closed source shop system","T750","",1,0,1,0,0,0
"CloudStore","","M1320",0,1,1,1,1,0
"commercial system","T691","",1,0,1,0,0,0
"concurrency jobs","T582","",1,0,1,0,0,0
"Corona Warn App","T4","",1,0,1,1,1,1
"customers and orders","T83","",1,0,1,1,1,1
"DeathStarBench","","M109, M541, M591, M640, M7, M53",0,6,6,1,1,1
"Deutschebahn StaDa","T299","",1,0,1,0,0,0
"DHL","T386","",1,0,1,0,0,0
"DHL Location Finder","T299","",1,0,1,0,0,0
"DIS","T56","",1,0,1,0,0,0
"Discourse","T39","",1,0,1,0,0,0
"disease-sh-api","T366","",1,0,1,0,0,0
"dukes-forest","T582","",1,0,1,0,0,0
"Elgg","","M1559",0,1,1,1,1,0
"EMB","T493, T84, T599, T729, T36, T423, T1685, T342, T366, T26, T28, T412, T398, T396, T451, T480","",16,0,16,1,1,0
"ERC-20 RESTful service","T396","",1,0,1,1,1,0
"E-Shopper","","M464, M1676",0,2,2,1,0,0
"Expedia","T80","",1,0,1,0,0,0
"FDIC","T386","",1,0,1,0,0,0
"Foursquare","T220, T386","",2,0,2,0,0,0
"FTGO","T45","",1,0,1,1,1,1
"Full Teaching","T12, T30","",2,0,2,1,1,0
"Genome Nexus","T396","",1,0,1,0,0,0
"Github","T486, T1318, T220","",3,0,3,0,0,0
"GitLab","T354, T792, T1457, T651","",4,0,4,0,0,0
