Title,DOI,Year
"IoT composition based on self-controlled services","10.1007/s12652-020-01831-4",2020
"Improved data-driven root cause analysis in fog computing environment","10.1007/s40860-021-00158-x",2022
"Testing Very Large Database Management Systems: The Case of SAP HANA","10.1007/s13222-022-00426-x",2022
"Containerization technologies: taxonomies, applications and challenges","10.1007/s11227-021-03914-1",2022
"Enjoy your observability: an industrial survey of microservice tracing and analysis","10.1007/s10664-021-10063-9",2021
"Performance optimization for cloud computing systems in the microservice era: state-of-the-art and research opportunities","10.1007/s11704-020-0072-3",2022
"A search-based identification of variable microservices for enterprise SaaS","10.1007/s11704-022-1390-4",2022
"Anomaly detection in microservice environments using distributed tracing data analysis and NLP","10.1186/s13677-022-00296-4",2022
"A method for monitoring the coupling evolution of microservice-based architectures","10.1186/s13173-021-00120-y",2021
"Intent-Driven Orchestration: Enforcing Service Level Objectives for Cloud Native Deployments","10.1007/s42979-023-01698-0",2023
"Industry practices and challenges for the evolvability assurance of microservices","10.1007/s10664-021-09999-9",2021
"18th ISoP Annual Meeting “Pharmacovigilance without borders�? Geneva, Switzerland, 11–14 November, 2018","10.1007/s40264-018-0719-2",2018
"A survey on AI for storage","10.1007/s42514-022-00101-3",2022
"Automated Analysis of Distributed Tracing: Challenges and Research Directions","10.1007/s10723-021-09551-5",2021
"The Twenty-First Century General Insurance Scenario in the Third World: The Case Study of the Indian Market","10.1111/1468-0440.00070",2000
"Cloud Resource Demand Prediction using Machine Learning in the Context of QoS Parameters","10.1007/s10723-021-09561-3",2021
"IoT-based botnet attacks systematic mapping study of literature","10.1007/s11192-020-03819-5",2021
"An empirical assessment of baseline feature location techniques","10.1007/s10664-019-09734-5",2020
"Big data in cybersecurity: a survey of applications and future trends","10.1007/s40860-020-00120-3",2021
"SDNFV Based Threat Monitoring and Security Framework for Multi-Access Edge Computing Infrastructure","10.1007/s11036-019-01389-2",2019
"Penetration testing framework for smart contract Blockchain","10.1007/s12083-020-00991-6",2021
"Automatic analysis of attack graphs for risk mitigation and prioritization on large-scale and complex networks in Industry 4.0","10.1007/s10207-020-00533-4",2022
"Building a Performance Efficient Core Banking System Based on the Microservices Architecture","10.1007/s10723-022-09624-z",2022
"Optimal deployment of components of cloud-hosted application for guaranteeing multitenancy isolation","10.1186/s13677-018-0124-5",2019
"Maintaining container sustainability through machine learning","10.1007/s10586-021-03359-4",2021
