Id,Title,DOI,Year,Source
"M1","TrinityRCL: Multi-Granular and Code-Level Root Cause Localization Using Multiple Types of Telemetry Data in Microservice Systems","10.1109/TSE.2023.3241299",2023,"ACM, IEEE, SCOPUS"
"M2","Edge Anomaly Detection Framework for AIOps in Cloud and IoT","10.5220/0011838600003488",2023,"SCOPUS"
"M3","TADL: Fault Localization with Transformer-based Anomaly Detection for Dynamic Microservice Systems","10.1109/SANER56733.2023.00078",2023,"IEEE, SCOPUS"
"M4","MicroState: An Anomaly Localization Method in Heterogeneous Microservice Systems","10.1587/transinf.2022DAP0003",2023,"SCOPUS"
"M5","DyCause: Crowdsourcing to Diagnose Microservice Kernel Failure","10.1109/TDSC.2022.3233915",2023,"IEEE, SCOPUS"
"M6","Look Deep into the Microservice System Anomaly through Very Sparse Logs","10.1145/3543507.3583338",2023,"ACM, SCOPUS"
"M7","MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF","10.1109/CLOUD55607.2022.00043",2022,"IEEE, SCOPUS"
"M8","MicroEGRCL: An Edge-Attention-Based Graph Neural Network Approach For&nbsp;Root Cause Localization In&nbsp;Microservice Systems,Chen","10.1007/978-3-031-20984-0_18",2022,"ACM, SCOPUS, SPRINGER"
"M9","Graph Based Liability Analysis for the Microservice Architecture","10.23919/CNSM55787.2022.9964681",2023,"ACM, IEEE, SCOPUS"
"M10","Requirements For&nbsp;Anomaly Detection Techniques For&nbsp;Microservices","10.1007/978-3-031-21388-5_3",2022,"ACM, SCOPUS, SPRINGER"
"M11","MicroMILTS: Fault Location for Microservices Based Mutual Information and LSTM Autoencoder","10.23919/APNOMS56106.2022.9919941",2022,"IEEE, SCOPUS"
"M12","Using Microservice Telemetry Data for System Dynamic Analysis","10.1109/SOSE55356.2022.00010",2022,"IEEE, SCOPUS"
"M13","15th International Conference on the Quality of Information and Communications Technology, QUATIC 2022","",2022,"SCOPUS"
"M14","Localizing and Explaining Faults in Microservices Using Distributed Tracing","10.1109/CLOUD55607.2022.00072",2022,"IEEE, SCOPUS"
"M15","Fault Localization for Microservice Applications with System Logs and Monitoring Metrics","10.1109/ICCCBDA55098.2022.9778893",2022,"IEEE, SCOPUS"
"M16","MMRCA: MultiModal Root Cause Analysis","10.1007/978-3-031-14135-5_14",2021,"ACM, SCOPUS, SPRINGER"
"M17","DeepTraLog: Trace-Log Combined Microservice Anomaly Detection through Graph-Based Deep Learning","10.1145/3510003.3510180",2022,"ACM, IEEE, SCOPUS"
"M18","VECROsim: A Versatile Metric-oriented Microservice Fault Simulation System (Tools and Artifact Track)","10.1109/ISSRE55969.2022.00037",2022,"IEEE, SCOPUS"
"M19","A Saga Pattern Microservice Reference Architecture for an Elastic SLO Violation Analysis","10.1109/ICSA-C54293.2022.00029",2022,"IEEE, SCOPUS"
"M20","Advancing Static Code Analysis With Language-Agnostic Component Identification","10.1109/ACCESS.2022.3160485",2022,"IEEE, SCOPUS"
"M21","ServiceRank: Root Cause Identification of Anomaly in Large-Scale Microservice Architectures","10.1109/TDSC.2021.3083671",2022,"IEEE, SCOPUS"
"M22","Self-Adaptive Root Cause Diagnosis for Large-Scale Microservice Architecture","10.1109/TSC.2020.2993251",2022,"IEEE, SCOPUS"
"M23","BSDG: Anomaly Detection Of&nbsp;Microservice Trace Based On&nbsp;Dual Graph Convolutional Neural Network","10.1007/978-3-031-20984-0_12",2022,"ACM, SCOPUS, SPRINGER"
