Id,Title,DOI,Year,Source,Authors,Link
"M1","TrinityRCL: Multi-Granular and Code-Level Root Cause Localization Using Multiple Types of Telemetry Data in Microservice Systems","10.1109/TSE.2023.3241299",2023,"ACM, IEEE, SCOPUS","Gu S., Rong G., Ren T., Zhang H., Shen H., Yu Y., Li X., Ouyang J., Chen C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148448378&doi=10.1109%2fTSE.2023.3241299&partnerID=40&md5=c14b3387445a7d39ed9c337edbdee5f4"
"M3","TADL: Fault Localization with Transformer-based Anomaly Detection for Dynamic Microservice Systems","10.1109/SANER56733.2023.00078",2023,"IEEE, SCOPUS","Li Y., Lu Y., Wang J., Qi Q., Wang J., Wang Y., Liao J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160528611&doi=10.1109%2fSANER56733.2023.00078&partnerID=40&md5=a693ac80cd929572fde44eb9c253c95e"
"M5","DyCause: Crowdsourcing to Diagnose Microservice Kernel Failure","10.1109/TDSC.2022.3233915",2023,"IEEE, SCOPUS","Pan Y., Ma M., Jiang X., Wang P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147214394&doi=10.1109%2fTDSC.2022.3233915&partnerID=40&md5=d185ff36135bd799905f064ebb75b9af"
"M6","Look Deep into the Microservice System Anomaly through Very Sparse Logs","10.1145/3543507.3583338",2023,"ACM, SCOPUS","Jiang X., Pan Y., Ma M., Wang P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159379328&doi=10.1145%2f3543507.3583338&partnerID=40&md5=eeff3dc45b5662b8ed9b7245ba076a82"
"M7","MicroLens: A Performance Analysis Framework for Microservices Using Hidden Metrics With BPF","10.1109/CLOUD55607.2022.00043",2022,"IEEE, SCOPUS","Amaral M., Chiba T., Trent S., Yoshimura T., Choochotkaew S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137572673&doi=10.1109%2fCLOUD55607.2022.00043&partnerID=40&md5=577b0e1a14b322fef0c735d71cde11a1"
"M8","MicroEGRCL: An Edge-Attention-Based Graph Neural Network Approach forÿRoot Cause Localization inÿMicroservice Systems","10.1007/978-3-031-20984-0_18",2022,"ACM, SCOPUS, SPRINGER","Chen R., Ren J., Wang L., Pu Y., Yang K., Wu W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145006548&doi=10.1007%2f978-3-031-20984-0_18&partnerID=40&md5=fb2ea18d71e0db63e7ba246d38daae2e"
"M10","Requirements forÿAnomaly Detection Techniques forÿMicroservices","10.1007/978-3-031-21388-5_3",2022,"ACM, SCOPUS, SPRINGER","Steidl M., Gattringer M., Felderer M., Ramler R., Shahriari M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142685387&doi=10.1007%2f978-3-031-21388-5_3&partnerID=40&md5=ae2d1ecd016e18802954c31ea64341a9"
"M11","MicroMILTS: Fault Location for Microservices Based Mutual Information and LSTM Autoencoder","10.23919/APNOMS56106.2022.9919941",2022,"IEEE, SCOPUS","Yang L., Li J., Shi K., Yang S., Yang Q., Sun J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142092014&doi=10.23919%2fAPNOMS56106.2022.9919941&partnerID=40&md5=f656f179b9ae17b27e203c312a65a85a"
"M12","Using Microservice Telemetry Data for System Dynamic Analysis","10.1109/SOSE55356.2022.00010",2022,"IEEE, SCOPUS","Al Maruf A., Bakhtin A., Cerny T., Taibi D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141369707&doi=10.1109%2fSOSE55356.2022.00010&partnerID=40&md5=8696adcf8ed486b93211dc400d45d784"
"M14","Localizing and Explaining Faults in Microservices Using Distributed Tracing","10.1109/CLOUD55607.2022.00072",2022,"IEEE, SCOPUS","Rios J., Jha S., Shwartz L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137600192&doi=10.1109%2fCLOUD55607.2022.00072&partnerID=40&md5=602d54fae358816aa2cbf74e1bc95c41"
"M15","Fault Localization for Microservice Applications with System Logs and Monitoring Metrics","10.1109/ICCCBDA55098.2022.9778893",2022,"IEEE, SCOPUS","Zhang Q., Jia T., Wu Z., Wu Q., Jia L., Li D., Tao Y., Xiao Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132175491&doi=10.1109%2fICCCBDA55098.2022.9778893&partnerID=40&md5=60c4637cabf572c7b5f2869071dc135b"
"M17","DeepTraLog: Trace-Log Combined Microservice Anomaly Detection through Graph-based Deep Learning","10.1145/3510003.3510180",2022,"ACM, IEEE, SCOPUS","Zhang C., Peng X., Sha C., Zhang K., Fu Z., Wu X., Lin Q., Zhang D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133555577&doi=10.1145%2f3510003.3510180&partnerID=40&md5=c15de94f433782e8cc6a26ecf087108f"
"M19","A Saga Pattern Microservice Reference Architecture for an Elastic SLO Violation Analysis","10.1109/ICSA-C54293.2022.00029",2022,"IEEE, SCOPUS","Speth S., Sties S., Becker S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132149990&doi=10.1109%2fICSA-C54293.2022.00029&partnerID=40&md5=10a958a79eacd9d0056994e8edc33a6d"
"M21","ServiceRank: Root Cause Identification of Anomaly in Large-Scale Microservice Architectures","10.1109/TDSC.2021.3083671",2022,"IEEE, SCOPUS","Ma M., Lin W., Pan D., Wang P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107213729&doi=10.1109%2fTDSC.2021.3083671&partnerID=40&md5=9a4549d07c1e0f24e7976214ac303f9f"
